instance,pn,pm,tw,tw_lb,pmcs,time,time_asp,time_bt
1c75,69,683,29,29,40332,4348.16,4344.91,3.19
1dj7,70,726,26,26,4896,1447.30,1446.56,0.69
1dp,73,756,26,26,7245,1532.11,1531.42,0.66
1en2,69,463,16,16,2162,441.77,441.56,0.19
1-FullIns_3,30,100,11,11,499,9.30,9.25,0.03
1-FullIns_4,93,593,-1,26,8748,0.00,0.00,0.00
1-FullIns_5,282,3247,-1,22,160,0.00,0.00,0.00
1-Insertions_4,67,232,-1,17,17058,0.00,0.00,0.00
1-Insertions_5,202,1227,-1,17,320,0.00,0.00,0.00
1-Insertions_6,607,6337,-1,9,35,0.00,0.00,0.00
2-FullIns_3,52,201,15,15,5464,503.20,502.76,0.41
2-FullIns_4,212,1621,-1,19,418,0.00,0.00,0.00
2-FullIns_5,852,12201,-1,7,0,0.00,0.00,0.00
2-Insertions_3,37,72,9,9,25550,432.30,431.48,0.79
2-Insertions_4,149,541,-1,14,2953,0.00,0.00,0.00
2-Insertions_5,597,3936,-1,8,63,0.00,0.00,0.00
3-FullIns_3,80,346,-1,18,15111,0.00,0.00,0.00
3-FullIns_4,405,3524,-1,12,127,0.00,0.00,0.00
3-FullIns_5,2030,33751,-1,3,0,0.00,0.00,0.00
3-Insertions_3,56,110,-1,11,116996,0.00,0.00,0.00
3-Insertions_4,281,1046,-1,11,462,0.00,0.00,0.00
3-Insertions_5,1406,9695,-1,4,0,0.00,0.00,0.00
4-FullIns_3,114,541,-1,17,8127,0.00,0.00,0.00
4-FullIns_4,690,6650,-1,8,22,0.00,0.00,0.00
4-FullIns_5,err
4-Insertions_3,79,156,-1,10,39663,0.00,0.00,0.00
4-Insertions_4,475,1795,-1,7,143,0.00,0.00,0.00
5-FullIns_3,154,792,-1,16,5155,0.00,0.00,0.00
5-FullIns_4,1085,11395,-1,6,0,0.00,0.00,0.00
abb313GPIA,1555,53356,-1,3,0,0.00,0.00,0.00
alarm,0,0,4,-1,0,0.02,0.00,0.00
anna,28,172,12,12,142,1.09,1.05,0.01
anna-pp,22,148,12,12,60,0.55,0.53,0.00
ash331GPIA,661,4180,-1,6,0,0.00,0.00,0.00
ash608GPIA,1215,7843,-1,4,0,0.00,0.00,0.00
ash958GPIA,1915,12505,-1,2,0,0.00,0.00,0.00
barley2,30,84,7,7,666,3.00,2.95,0.03
barley,30,84,7,7,666,3.27,3.22,0.03
barley-pp,26,78,7,7,299,1.14,1.11,0.01
celar02,41,174,10,10,715,18.85,18.70,0.13
celar09pp,0,0,7,-1,0,0.02,0.00,0.00
child,0,0,3,-1,0,0.02,0.00,0.00
david,36,214,13,13,1162,7.52,7.42,0.08
david-pp,29,191,13,13,227,1.58,1.55,0.01
DSJC1000.1,1000,49629,-1,12,0,0.00,0.00,0.00
DSJC1000.5,1000,249826,-1,4,0,0.00,0.00,0.00
DSJC1000.9,1000,449449,-1,6,0,0.00,0.00,0.00
DSJC125.1,125,736,-1,22,1234,0.00,0.00,0.00
DSJC125.5,125,3891,-1,64,74,0.00,0.00,0.00
DSJC125.9,125,6961,119,119,925,148.04,147.89,0.08
DSJC250.1,250,3218,-1,20,27,0.00,0.00,0.00
DSJC250.5,250,15668,-1,38,0,0.00,0.00,0.00
DSJC250.9,250,27897,-1,235,250,0.00,0.00,0.00
DSJC500.1,500,12458,-1,16,0,0.00,0.00,0.00
DSJC500.5,500,62624,-1,25,0,0.00,0.00,0.00
DSJC500.9,500,112437,-1,121,0,0.00,0.00,0.00
DSJR500.1c,500,121275,-1,135,0,0.00,0.00,0.00
DSJR500.1,482,3462,-1,6,6,0.00,0.00,0.00
DSJR500.5,500,58862,-1,33,0,0.00,0.00,0.00
eil51.tsp,51,140,8,8,2646,67.33,67.19,0.13
fpsol2.i.1,269,11654,66,66,256,2590.60,2588.38,2.14
fpsol2.i.2,363,8691,31,31,266,1918.68,1917.03,1.59
fpsol2.i.3,363,8688,31,31,266,2849.81,2848.18,1.56
games120,106,572,-1,17,6319,0.00,0.00,0.00
grid2_2,0,0,2,-1,0,0.02,0.00,0.00
grid3_3,0,0,3,-1,0,0.02,0.00,0.00
grid4_10,36,62,4,4,732,1.77,1.73,0.02
grid4_4,12,20,4,4,208,0.19,0.17,0.00
grid4_8,28,48,4,4,548,0.86,0.83,0.02
grid4_9,32,55,4,4,640,1.14,1.11,0.02
grid5_5,21,36,5,5,1599,1.10,1.04,0.04
grid5_6,26,45,5,5,1564,2.20,2.14,0.04
grid5_7,31,54,5,5,1900,5.09,5.02,0.06
grid5_8,36,63,5,5,2236,8.19,8.09,0.07
grid5_9,41,72,5,5,2572,11.17,11.06,0.09
grid6_6,32,56,6,6,8528,23.51,23.28,0.21
grid6_7,38,67,6,6,7572,31.40,31.17,0.21
grid7_7,45,80,7,7,39971,242.36,241.26,1.06
hailfinder,12,22,4,4,43,0.21,0.19,0.00
hepar2,0,0,6,-1,0,0.02,0.00,0.00
homer,130,831,-1,19,15229,0.00,0.00,0.00
huck,0,0,10,-1,0,0.04,0.00,0.00
inithx.i.1,519,18707,-1,33,239,0.00,0.00,0.00
inithx.i.2,558,13979,31,31,341,3091.20,3088.00,3.09
inithx.i.3,559,13969,31,31,347,2954.32,2950.97,3.22
jean,19,83,9,9,24,0.32,0.30,0.00
latin_square_10,900,307350,-1,12,0,0.00,0.00,0.00
le450_15a,448,8166,-1,14,54,0.00,0.00,0.00
le450_15b,448,8167,-1,14,37,0.00,0.00,0.00
le450_15c,450,16680,-1,21,1,0.00,0.00,0.00
le450_15d,450,16750,-1,19,1,0.00,0.00,0.00
le450_25a,445,8250,-1,9,73,0.00,0.00,0.00
le450_25b,448,8261,-1,10,66,0.00,0.00,0.00
le450_25c,450,17343,-1,18,6,0.00,0.00,0.00
le450_25d,450,17425,-1,19,7,0.00,0.00,0.00
le450_5a,450,5714,-1,13,0,0.00,0.00,0.00
le450_5b,450,5734,-1,14,2,0.00,0.00,0.00
le450_5c,450,9803,-1,17,0,0.00,0.00,0.00
le450_5d,450,9757,-1,17,0,0.00,0.00,0.00
mainuk,17,64,7,7,65,0.29,0.27,0.00
mildew,14,29,4,4,69,0.17,0.15,0.00
miles1000,124,3104,-1,37,562,0.00,0.00,0.00
miles1500,128,5198,77,77,335,1319.75,1318.58,1.12
miles250,27,127,9,9,127,1.21,1.18,0.01
miles500,108,1067,-1,21,7949,0.00,0.00,0.00
miles750,119,1993,-1,29,2063,0.00,0.00,0.00
mug100_1,0,0,3,-1,0,0.05,0.00,0.00
mug100_25,0,0,3,-1,0,0.05,0.00,0.00
mug88_1,0,0,3,-1,0,0.03,0.00,0.00
mug88_25,0,0,3,-1,0,0.04,0.00,0.00
mulsol.i.1,138,3925,50,50,259,235.40,234.44,0.92
mulsol.i.2,173,3885,32,32,370,181.88,181.49,0.36
mulsol.i.3,174,3916,32,32,371,227.53,227.13,0.36
mulsol.i.4,175,3946,32,32,371,216.86,216.49,0.34
mulsol.i.5,176,3973,31,31,267,187.76,187.43,0.29
mulsol.i.5-pp,119,2556,31,31,95,20.91,20.75,0.13
myciel2,0,0,2,-1,0,0.01,0.00,0.00
myciel3,11,20,5,5,32,0.22,0.20,0.00
myciel4,23,71,10,10,182,0.89,0.86,0.01
myciel5,47,236,19,19,1011,44.41,44.19,0.20
myciel6,95,755,35,35,14914,5682.68,5676.05,6.60
myciel7,191,2360,-1,35,156,0.00,0.00,0.00
oesoca42,0,0,3,-1,0,0.02,0.00,0.00
oesoca,0,0,3,-1,0,0.01,0.00,0.00
oesoca+,25,123,11,11,682,1.29,1.24,0.03
oesoca+-pp,14,75,11,11,18,0.32,0.31,0.00
pace16tw_4x12_torusGrid,48,96,8,8,96000,409.56,407.27,2.24
pace16tw_6s10.gaifman,err
pace16tw_6s11-opt.gaifman,err
pace16tw_6s12.gaifman,err
pace16tw_8x6_torusGrid,48,96,-1,12,175632,0.00,0.00,0.00
pace16tw_aes_32_3_keyfind_1.gaifman,632,2128,-1,5,340,0.00,0.00,0.00
pace16tw_aes_64_1_keyfind_1.gaifman,464,1824,-1,7,712,0.00,0.00,0.00
pace16tw_AhrensSzekeresGeneralizedQuadrangleGraph_3,27,135,17,17,297,3.83,3.79,0.01
pace16tw_AProVE07-01.gaifman,err
pace16tw_AProVE07-03.gaifman,3019,17327,-1,1,0,0.00,0.00,0.00
pace16tw_BalancedTree_3_5,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_BiggsSmithGraph,102,153,-1,9,43656,0.00,0.00,0.00
pace16tw_BlanusaSecondSnarkGraph,18,27,4,4,140,0.38,0.37,0.00
pace16tw_BrinkmannGraph,21,42,8,8,497,3.07,3.04,0.01
pace16tw_BrouwerHaemersGraph,81,810,-1,34,81,0.00,0.00,0.00
pace16tw_BubbleSortGraph_5,120,240,-1,10,14640,0.00,0.00,0.00
pace16tw_CameronGraph,231,3465,-1,28,0,0.00,0.00,0.00
pace16tw_Cell120,600,1200,-1,4,0,0.00,0.00,0.00
pace16tw_ChvatalGraph,12,24,6,6,88,0.23,0.21,0.00
pace16tw_ClebschGraph,16,40,8,8,96,0.33,0.31,0.00
pace16tw_contiki_calc_input_to_operand1,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_collect_enqueue_dummy_packet,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_collect_received_announcement,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_collect_send_ack,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_contiki_collect_send_next_packet,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_contiki_collect_send_queued_packet,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_contikimac_input_packet,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_contikimac_powercycle,34,53,5,5,2292,10.40,10.30,0.09
pace16tw_contiki_ctk_ctk_menu_add,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_cxmac_input_packet,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_dhcpc_dhcpc_init,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_dhcpc_dhcpc_request,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_dhcpc_handle_dhcp,52,83,6,6,6203,72.16,71.85,0.27
pace16tw_contiki_httpd-cfs_send_file,7,11,3,3,8,0.15,0.14,0.00
pace16tw_contiki_httpd-cfs_send_headers,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_ifft_ifft,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_ircc_handle_connection,32,54,4,4,164,0.97,0.94,0.01
pace16tw_contiki_ircc_list_channel,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_lpp_dutycycle,16,26,5,5,216,0.28,0.26,0.01
pace16tw_contiki_lpp_init,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_contiki_lpp_send_packet,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_lpp_send_probe,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_nullrdc_packet_input,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_polite-announcement_send_timer,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_powertrace_add_stats,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_powertrace_powertrace_print,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_process_exit_process,0,0,3,-1,0,0.01,0.00,0.00
pace16tw_contiki_profile_profile_episode_start,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_psock_psock_generator_send,12,18,4,4,126,0.20,0.18,0.00
pace16tw_contiki_psock_psock_readto,10,15,3,3,20,0.15,0.13,0.00
pace16tw_contiki_ringbuf_ringbuf_put,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_route-discovery_route_discovery_discover,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_rudolph1_rudolph1_open,0,0,1,-1,0,0.01,0.00,0.00
pace16tw_contiki_rudolph1_write_data,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_serial-line_process_thread_serial_line_process,14,22,4,4,235,0.22,0.20,0.00
pace16tw_contiki_shell-base64_base64_add_char,0,0,2,-1,0,0.03,0.00,0.00
pace16tw_contiki_shell-collect-view_process_thread_collect_view_data_process,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_shell-netperf_memcpy_misaligned,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_shell_process_thread_shell_server_process,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_shell-ps_process_thread_shell_ps_process,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_shell-rime-debug_recv_broadcast,0,0,1,-1,0,0.01,0.00,0.00
pace16tw_contiki_shell-rime-ping_recv_mesh,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_shell-rime_process_thread_shell_send_process,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_shell-rime_recv_collect,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_shell-sendtest_read_chunk,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_shell_shell_register_command,0,0,2,-1,0,0.04,0.00,0.00
pace16tw_contiki_shell-text_process_thread_shell_echo_process,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_tcpip_eventhandler,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_uip-neighbor_uip_neighbor_add,0,0,3,-1,0,0.03,0.00,0.00
pace16tw_contiki_uip-neighbor_uip_neighbor_periodic,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_contiki_uip-over-mesh_recv_data,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_uip_uip_connect,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_contiki_uip_uip_init,0,0,2,-1,0,0.03,0.00,0.00
pace16tw_contiki_uip_uip_unlisten,0,0,2,-1,0,0.03,0.00,0.00
pace16tw_contiki_webclient_senddata,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_contiki_webclient_webclient_appcall,0,0,3,-1,0,0.03,0.00,0.00
pace16tw_CycleGraph_100,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_DejterGraph,112,336,-1,14,4816,0.00,0.00,0.00
pace16tw_DesarguesGraph,20,30,6,6,2380,2.88,2.79,0.07
pace16tw_DodecahedralGraph,20,30,6,6,6840,4.09,3.92,0.15
pace16tw_DorogovtsevGoltsevMendesGraph,0,0,2,-1,0,0.17,0.00,0.00
pace16tw_DoubleStarSnark,30,45,6,6,2310,17.67,17.58,0.07
pace16tw_DyckGraph,32,48,7,7,7844,137.62,137.37,0.23
pace16tw_ErreraGraph,17,45,6,6,117,0.37,0.35,0.00
pace16tw_FibonacciTree_10,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_FlowerSnark,20,30,6,6,2140,2.75,2.64,0.06
pace16tw_FoldedCubeGraph_7,64,224,-1,19,4544,0.00,0.00,0.00
pace16tw_FolkmanGraph,20,40,6,6,170,0.78,0.75,0.01
pace16tw_FosterGraph,90,135,-1,9,38520,0.00,0.00,0.00
pace16tw_FriendshipGraph_10,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_fuzix_abort_abort,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_fuzix_bankfixe_pagemap_alloc,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_clock_gettime_clock_gettime,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_clock_gettime_div10quickm,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_fuzix_clock_settime_clock_settime,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_devf_fd_transfer,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_devio_bfind,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_devio_kprintf,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_difftime_difftime,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_fuzix_fgets_fgets,0,0,3,-1,0,0.01,0.00,0.00
pace16tw_fuzix_filesys_filename,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_filesys_getinode,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_filesys_i_open,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_filesys_newfstab,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_fuzix_filesys_srch_mt,0,0,3,-1,0,0.01,0.00,0.00
pace16tw_fuzix_gethostname_gethostname,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_fuzix_getpass__gets,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_inode_rwsetup,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_malloc___insert_chunk,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_nanosleep_clock_nanosleep,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_process_getproc,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_qsort__lqsort,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_ran_rand,0,0,2,-1,0,0.01,0.00,0.00
pace16tw_fuzix_readdir_readdir,0,0,3,-1,0,0.01,0.00,0.00
pace16tw_fuzix_regexp_regcomp,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_setbuffer_setbuffer,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_setenv_setenv,0,0,3,-1,0,0.01,0.00,0.00
pace16tw_fuzix_se_ycomp,0,0,3,-1,0,0.04,0.00,0.00
pace16tw_fuzix_stat_statfix,0,0,1,-1,0,0.02,0.00,0.00
pace16tw_fuzix_syscall_fs2_chown_op,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_syscall_fs2__fchdir,0,0,2,-1,0,0.03,0.00,0.00
pace16tw_fuzix_syscall_proc__time,0,0,2,-1,0,0.02,0.00,0.00
pace16tw_fuzix_sysconf_sysconf,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_fuzix_tty_tty_read,15,24,4,4,122,0.25,0.23,0.00
pace16tw_fuzix_usermem_ugets,0,0,2,-1,0,0.03,0.00,0.00
pace16tw_fuzix_vfscanf_vfscanf,64,108,6,6,10416,126.56,125.98,0.52
pace16tw_GeneralizedPetersenGraph_10_4,20,30,6,6,3310,2.61,2.51,0.09
pace16tw_GNP_20_10_0,11,19,4,4,49,0.17,0.15,0.00
pace16tw_GNP_20_10_1,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_GNP_20_20_0,17,42,6,6,136,0.33,0.31,0.00
pace16tw_GNP_20_20_1,17,45,7,7,75,0.34,0.32,0.00
pace16tw_GNP_20_30_0,19,55,8,8,233,0.59,0.57,0.01
pace16tw_GNP_20_30_1,15,53,8,8,38,0.32,0.29,0.00
pace16tw_GNP_20_40_0,20,78,10,10,153,0.63,0.61,0.01
pace16tw_GNP_20_40_1,20,71,8,8,40,0.35,0.33,0.00
pace16tw_GNP_20_50_0,20,91,10,10,37,0.61,0.59,0.00
pace16tw_GNP_20_50_1,20,106,12,12,73,0.54,0.51,0.00
pace16tw_GoethalsSeidelGraph_2_3,16,72,11,11,24,0.36,0.35,0.00
pace16tw_GoldnerHararyGraph,0,0,3,-1,0,0.02,0.00,0.00
pace16tw_GossetGraph,56,756,43,43,126560,6362.06,6357.98,3.98
pace16tw_GrayGraph,54,81,9,9,152496,3625.21,3619.53,5.63
pace16tw_GrotzschGraph,11,20,5,5,32,0.19,0.18,0.00
pace16tw_HallJankoGraph,100,1800,-1,44,100,0.00,0.00,0.00
pace16tw_HanoiTowerGraph_4_3,60,156,-1,13,123528,0.00,0.00,0.00
pace16tw_HararyGraph_6_15,0,0,6,-1,0,0.02,0.00,0.00
pace16tw_HarborthGraph,52,104,5,5,1560,31.92,31.84,0.07
pace16tw_HarriesGraph,70,105,-1,10,100030,0.00,0.00,0.00
pace16tw_HeawoodGraph,14,21,5,5,182,0.24,0.22,0.01
pace16tw_HigmanSimsGraph,100,1100,-1,33,100,0.00,0.00,0.00
pace16tw_HoffmanGraph,16,32,6,6,128,0.37,0.35,0.00
pace16tw_HoffmanSingletonGraph,50,175,-1,20,3550,0.00,0.00,0.00
pace16tw_HyperStarGraph_10_2,0,0,8,-1,0,0.02,0.00,0.00
pace16tw_IcosahedralGraph,12,30,6,6,132,0.22,0.21,0.00
pace16tw_JohnsonGraph_10_4,210,2520,-1,24,0,0.00,0.00,0.00
pace16tw_KittellGraph,23,63,7,7,440,1.53,1.51,0.01
